original_filename,student_id,IoU,F1_Score,Accuracy,Balanced_Accuracy,TP,TN,FP,FN
4GRAY_000-cropped,07,0.5015822784810127,0.6680716543730242,0.9469473684210526,0.7585805089381596,12046,201609,928,11042
16GRAY_045-cropped,07,0.47057619486234775,0.6399888649175308,0.9541451523545706,0.7404410772943621,9196,206083,518,9828
1GRAY_030-cropped,07,0.7634781619654231,0.8658776484246509,0.9815667590027701,0.8906447904646657,13425,208041,448,3711
9GRAY_015-cropped,07,0.7165814761807401,0.8348936372948379,0.9692808864265928,0.8660744060399305,17524,201170,620,6311
16GRAY_045-cropped,09,0.8126875663696385,0.896665902549604,0.9820188365650969,0.9562491301853153,17602,203966,2635,1422
1GRAY_030-cropped,09,0.7996618357487922,0.8886801063001637,0.9816199445983379,0.9744418154228549,16553,204925,3564,583
4GRAY_000-cropped,09,0.794239430480895,0.8853215652138707,0.9748919667590028,0.9625868573491415,21867,198093,4444,1221
9GRAY_015-cropped,09,0.7879217857760858,0.8813828345786071,0.9728398891966759,0.965058185501561,22767,196730,5060,1068
16GRAY_045-cropped,05,0.7862710585868745,0.8803490990990991,0.9811634349030471,0.9088445744899027,15635,205740,861,3389
1GRAY_030-cropped,05,0.7918070485052676,0.8838083868079392,0.9827457063711912,0.9282660732595283,14806,206926,1563,2330
9GRAY_015-cropped,05,0.807550349033138,0.8935301298413051,0.9787390581717451,0.9195538793957287,20129,200699,1091,3706
4GRAY_000-cropped,05,0.833940072808737,0.909451824706062,0.981602216066482,0.9467339197891517,20846,200628,1909,2242
9GRAY_015-cropped,02,0.602825188303619,0.7522032879226594,0.9305883656509696,0.9599923239970587,23770,186194,15596,65
1GRAY_030-cropped,02,0.5455675623983934,0.7059769830466527,0.936815512465374,0.9652487631829731,17115,194254,14235,21
4GRAY_000-cropped,02,0.5338265895953758,0.6960716331514366,0.9106393351800554,0.9502263783901213,23088,182375,20162,0
16GRAY_045-cropped,02,0.5938602791917804,0.7451848658816153,0.942360110803324,0.9683353900721978,19016,193604,12997,8
